"","constituency","code","vaxed","pop","per_vax","lab_share"
"192","HACKNEY SOUTH AND SHOREDITCH","E14000721",74732,160715,0.46499704445758,0.73
"193","HALESOWEN AND ROWLEY REGIS","E14000722",58112,93727,0.620013443298089,0.32
"194","HALIFAX","E14000723",64945,113955,0.569917950068009,0.46
"195","HALTEMPRICE AND HOWDEN","E14000724",67612,94548,0.715107670178111,0.22
"196","HALTON","E14000725",64758,103944,0.623008543061649,0.64
"197","HAMMERSMITH","E14000726",72708,162065,0.448634807021874,0.58
"198","HAMPSTEAD AND KILBURN","E14000727",83119,171883,0.483578946143598,0.49
"199","HARBOROUGH","E14000728",76357,114092,0.669258142551625,0.25
"200","HARLOW","E14000729",62517,111892,0.558726271762056,0.31
"201","HARROGATE AND KNARESBOROUGH","E14000730",74081,113129,0.654836514068011,0.1
"202","HARROW EAST","E14000731",68080,132612,0.513377371580249,0.38
"203","HARROW WEST","E14000732",70773,136786,0.517399441463308,0.52
"204","HARTLEPOOL","E14000733",59242,97842,0.605486396435069,0.38
"205","HARWICH AND NORTH ESSEX","E14000734",69163,103710,0.666888438916209,0.22
